itemId,consumableType,effectTarget,effectValueType,effectValue,duration,maxStatValue
5101,Heal,Time,Flat,15,0,0
5102,Heal,Time,Flat,25,0,0
5103,Heal,Time,MaxPercent,30,0,0
5105,PermanentStat,ATK,Flat,0.5,0,16
5106,PermanentStat,ATK,Flat,1,0,28
5107,PermanentStat,ATK,Flat,1.5,0,0
5104,PermanentStat,DEF,Flat,0.5,0,16
5108,PermanentStat,DEF,Flat,1,0,28
5109,PermanentStat,DEF,Flat,1.5,0,0
5111,PermanentStat,Stamina,Flat,5,0,150
5112,PermanentStat,Stamina,Flat,10,0,250
5113,PermanentStat,Stamina,Flat,15,0,0
