dropId,sourceType,sourceId,itemId,dropChance,countDist
1001,Chest,LC_LOOT,5101,65,60|40
1001,Chest,LC_LOOT,5102,30,100
1001,Chest,LC_LOOT,6101,32,100
1001,Chest,LC_LOOT,5105,22,100
1001,Chest,LC_LOOT,8601,5,100
1002,Chest,LC_TECH,5102,55,60|40
1002,Chest,LC_TECH,5103,28,100
1002,Chest,LC_TECH,5104,35,100
1002,Chest,LC_TECH,5111,35,100
1002,Chest,LC_TECH,6102,32,100
1002,Chest,LC_TECH,6103,22,100
1003,Chest,LC_ELITE,5103,50,60|40
1003,Chest,LC_ELITE,5105,35,100
1003,Chest,LC_ELITE,5104,32,100
1003,Chest,LC_ELITE,5111,32,100
1003,Chest,LC_ELITE,6104,32,100
1003,Chest,LC_ELITE,6105,22,100
2005,Monster,MeleeBot_OakTreeEnt,4101,100,0|40|40|20
2231,Monster,MeleeBot_SpiderS3,1102,100,80|20
2007,Monster,MeleeBot_Undead,3101,100,60|40
2002,Monster,MeleeBot_EvilWatcher,1104,100,40|60
2261,Monster,MeleeBot_Mushroom,1103,100,60|40
2251,Monster,MeleeBot_RockMonster,2101,100,0|50|50
2006,Monster,MeleeBot_SkeletonKnight,1105,100,20|60|20
2008,Monster,MeleeBot_Werewolf,1106,100,0|50|50
2242,Monster,MeleeBot_SpiderQueen_Nature,8101,100,0|0|0|50|50
2253,Monster,MeleeBot_RockMonster_Snow,2102,100,0|70|30
2263,Monster,MeleeBot_Mushroom_Snow,3104,100,0|70|30
2241,Monster,MeleeBot_SpiderQueen_Frost,8102,100,50|50
2271,Monster,MeleeBot_BoneDragon,1301,100,0|70|30
2252,Monster,MeleeBot_RockMonster_Desert,2107,100,0|70|30
2262,Monster,MeleeBot_Mushroom_Desert,3102,100,0|70|30
2281,Monster,MeleeBot_GiantWorm,1204,100,0|70|30
2243,Monster,MeleeBot_SpiderQueen_Desert,8103,100,50|50
2221,Monster,suicide_spider,2103,100,80|20
2201,Monster,hell_hound,1106,100,0|70|30
2202,Monster,hell_bat,1104,100,0|70|30
2203,Monster,hell_bug,3101,100,0|70|30
2204,Monster,hell_cyclop,8104,100,50|50
2205,Monster,hell_flying_demon,3108,100,0|70|30
2254,Monster,MeleeBot_RockMonster_Lava,2104,100,0|70|30
2264,Monster,MeleeBot_Mushroom_Lava,3101,100,0|70|30
2009,Monster,wyvern_boss,8501,100,100
2211,Monster,ice_elemental_boss,8502,100,100
2212,Monster,sand_elemental_boss,8503,100,100
2213,Monster,fire_boss,8504,100,100
