recipeId,facilityId,outputItemId,outputCount,craftTime
R1201,1,1201,1,2
R1202,1,1202,1,2
R1203,1,1203,1,2
R1205,1,1205,1,2
R2209,6,2209,1,3
R2201,6,2201,1,2
R2204,6,2204,1,2
R2208,6,2208,1,2
R5101,2,5101,1,4
R5105,2,5105,1,4
R5104,2,5104,1,4
R5111,2,5111,1,4
R5102,2,5102,1,6
R5106,2,5106,1,6
R5108,2,5108,1,6
R5112,2,5112,1,6
R5103,2,5103,1,8
R5107,2,5107,1,8
R5109,2,5109,1,8
R5113,2,5113,1,8
R8201,10,8201,1,6
R2301,10,2301,1,5
R8301,3,8301,1,8
R8302,3,8302,1,8
R8303,3,8303,1,8
R8304,3,8304,1,8
R8401,3,8401,1,10
R8402,3,8402,1,10
R8403,3,8403,1,10
R8404,3,8404,1,10
R6101,7,6101,1,8
R6102,7,6102,1,8
R6103,7,6103,1,9
R6104,7,6104,1,9
R6105,7,6105,1,10
R7101,7,7101,1,10
R4202,4,4202,1,3
R4203,4,4203,1,3
R4204,4,4204,1,3
R4205,4,4205,1,3
R4206,4,4206,1,3
R4207,4,4207,1,3
R1102,5,1102,2,3
R1103,5,1103,2,3
R1104,5,1104,2,3
R1105,5,1105,2,3
R1106,5,1106,2,3
R3101,5,3101,2,3
