recipeId,inputItemId,inputCount
R1102,4202,1
R1103,4203,1
R1104,4204,1
R1201,1102,1
R1201,3101,1
R1301,1201,1
R1301,3107,1
R2201,2103,1
R2201,2102,1
R2203,2101,2
R2204,2102,2
R2208,2107,2
R2301,2204,2
R3101,4205,1
R3107,3101,3
R4202,1102,1
R4203,1103,1
R4204,1104,1
R4205,3101,1
R6101,2201,2
R6102,6101,1
R6102,2201,1
R6103,6102,1
R6103,2201,1
R6105,6104,1
R6105,7101,1
R7101,2208,1
R7101,2301,1
R6104,6103,1
R6104,2201,1
R8201,2203,2
R8301,8201,1
R8301,8101,5
R8302,8201,1
R8302,8102,5
R8303,8201,1
R8303,8103,5
R8304,8201,1
R8304,8104,5
R8401,8201,1
R8401,8501,1
R8402,8201,1
R8402,8502,1
R8403,8201,1
R8403,8503,1
R8404,8201,1
R8404,8504,1
R2202,2107,1
R2202,3102,2
R2206,3104,2
R2206,2102,1
R3105,3108,2
R3105,2104,1
R3201,3105,1
R3201,3108,2
R2302,2206,1
R2302,3104,2
R2303,2202,1
R2303,1204,1
R5101,1201,1
R5101,1103,2
R5104,1201,1
R5104,1105,2
R5105,1201,1
R5105,1106,2
R5111,1201,1
R5111,1104,2
R5102,5101,1
R5102,1301,1
R5106,5105,1
R5106,3201,1
R5108,5104,1
R5108,2302,1
R5112,5111,1
R5112,2303,1
R5103,5102,1
R5103,1301,2
R5107,5106,1
R5107,3201,2
R5109,5108,1
R5109,2302,2
R5113,5112,1
R5113,2303,2
