ID,아이템 타입 ,아이템 이름,아이템 설명,최대장탄 수 ,중첩 여부,중첩 개수,판매 Time(s),아이템 2D이미지,무게(kg),연사 가능여부,기본 데미지,발사 속도,장전 시간,유효 사거리(m),반동패턴 사용 여부,패턴에 추가되는 랜덤 반동,사격 중단 후 반동이 원위치로 돌아오는 시간,한 발 발사 시 생성되는 탄 수,탄 퍼짐 각도
ID,itemType,itemName,description,magazinesize,duplicated,overlapsCount,saleTime,iconImange,weight,isAutomatic,damage,fireRate,reloadTime,effectiveRange,useRecoilPattern,randomRecoilAngle,recoilResetTime,pelletsPerShot,spreadAngle
1101,SR,VPO-101,누구라도 맞으면 사망할 것 같다.,4,0,0,360,1101,4.4,0,21.3,0.8,3.2,31.2,1,1,0.25,1,0
1201,AR,AK-47,총소리만 들어도 적이 두려움을 느낀다는 총이다.,30,0,0,300,1201,4.3,1,16,10,3,23,1,1,0.2,1,2.5
1202,AR,MP7,굉장히 가볍다.,30,0,0,280,1202,1.8,1,8.5,18.65,2.3,20.6,1,1,0.25,1,0
1301,샷건,TOZ-66,곰도 한방에 보낼 것 같은 샷건이다.,2,0,0,240,1301,2.7,0,45,5.2,0.4,16.5,1,1,0.25,1,0
1401,권총,PM,엄청 오래된 권총같다.,8,0,0,180,1401,4.4,1,21.3,0.8,3.2,31.2,1,1,0.25,1,0
2101,방탄모 ,Lv.3 방탄모,만든지 얼마 안된 신상같다.,0,0,0,260,2101,0,0,0,0,0,0,0,0,0,0,0
2102,방탄모 ,Lv.2 방탄모,나름 쓸만해보인다.,0,0,0,220,2102,0,0,0,0,0,0,0,0,0,0,0
2103,방탄모 ,Lv.1 방탄모,만든지 오래된 것 같다.,0,0,0,180,2103,0,0,0,0,0,0,0,0,0,0,0
3101,방탄복,Lv.3 방탄복,만든지 얼마 안된 신상같다.,0,0,0,360,3101,0,0,0,0,0,0,0,0,0,0,0
3102,방탄복,Lv.2 방탄복,나름 쓸만해보인다.,0,0,0,300,3102,0,0,0,0,0,0,0,0,0,0,0
3103,방탄복,Lv.1 방탄복,만든지 오래된 것 같다.,0,0,0,240,3103,0,0,0,0,0,0,0,0,0,0,0
4101,탄약,7.62mm,0,0,1,4,90,4101,0,0,0,0,0,0,0,0,0,0,0
4102,탄약,5.45mm,0,0,1,30,70,4102,0,0,0,0,0,0,0,0,0,0,0
4103,탄약,12 Gauge,0,0,1,2,55,4103,0,0,0,0,0,0,0,0,0,0,0
4104,탄약,9mm,0,0,1,8,40,4104,0,0,0,0,0,0,0,0,0,0,0
5101,사치품,금괴,아주 비싸보이는 금괴다.,0,0,0,300,5101,0,0,0,0,0,0,0,0,0,0,0
5102,사치품,다이아몬드 반지,내 손가락보다 훨씬 작은 반지다.,0,0,0,280,5102,0,0,0,0,0,0,0,0,0,0,0
5103,사치품,명품 손목시계,유명한 브랜드의 시계다. 부서진 곳도 다행히 없다.,0,0,0,240,5103,0,0,0,0,0,0,0,0,0,0,0
5104,사치품,금 목걸이,굉장히 유명한 사람이 가지고 다니던 것 같다.,0,0,0,220,5104,0,0,0,0,0,0,0,0,0,0,0
5105,사치품,금 팔찌,무거운 팔찌다.,0,0,0,215,5105,0,0,0,0,0,0,0,0,0,0,0
5106,사치품,빈티지 와인,아주 오래된 것 같은 와인이다.,0,0,0,210,5106,0,0,0,0,0,0,0,0,0,0,0
5107,사치품,고급 카펫,아름다운 문양이 새겨져있다.,0,0,0,205,5107,0,0,0,0,0,0,0,0,0,0,0
5108,사치품,보석 장식 브로치,흙 하나 묻지 않은 하얀 브로치다.,0,0,0,200,5108,0,0,0,0,0,0,0,0,0,0,0
5109,사치품,금화,멋진 모양의 금화다.,0,0,0,180,5109,0,0,0,0,0,0,0,0,0,0,0
5110,사치품,은 식기 세트,한 번도 사용하지 않은 것 같다.,0,0,0,175,5110,0,0,0,0,0,0,0,0,0,0,0
5111,사치품,은화 세트,기념 은화를 모아놓은 것 같다.,0,0,0,165,5111,0,0,0,0,0,0,0,0,0,0,0
5112,사치품,도자기 화병,겉에 무늬가 아름답게 그려져있다.,0,0,0,160,5112,0,0,0,0,0,0,0,0,0,0,0
5113,사치품,액자 그림,오래됬지만 아주 멋진 그림이 그려져있다.,0,0,0,155,5113,0,0,0,0,0,0,0,0,0,0,0
5114,사치품,시가 세트,고급 시가가 깔끔하게 정리되어 있다.,0,0,0,145,5114,0,0,0,0,0,0,0,0,0,0,0
5115,사치품,위스키,병이 엄청 고급져보인다.,0,0,0,140,5115,0,0,0,0,0,0,0,0,0,0,0
5116,사치품,금 반지,오래전에 제작된 금반지다.,0,0,0,135,5116,0,0,0,0,0,0,0,0,0,0,0
5117,사치품,향수,고급스러운 향이 아직 남아 있는 향수다.,0,0,0,130,5117,0,0,0,0,0,0,0,0,0,0,0
5118,사치품,만년필,누군가의 각인이 새겨진 만년필이다.,0,0,0,120,5118,0,0,0,0,0,0,0,0,0,0,0
6101,건설 자원,보강 테이프,임시 보강에 사용하는 테이프,0,1,99,45,6101,0,0,0,0,0,0,0,0,0,0,0
6102,건설 자원,접합 접착제,재료를 서로 붙이는 접착제,0,1,99,50,6102,0,0,0,0,0,0,0,0,0,0,0
6103,건설 자원,윤활 오일,기계 마찰을 줄여주는 오일,0,1,99,55,6103,0,0,0,0,0,0,0,0,0,0,0
6104,건설 자원,고정 핀,부품 위치를 고정하는 작은 핀,0,1,99,40,6104,0,0,0,0,0,0,0,0,0,0,0
6105,건설 자원,체결 너트,볼트와 함께 사용하는 너트,0,1,99,42,6105,0,0,0,0,0,0,0,0,0,0,0
6106,건설 자원,체결 볼트,부품을 단단히 고정하는 볼트,0,1,99,44,6106,0,0,0,0,0,0,0,0,0,0,0
6107,건설 자원,금속 클램프,부품을 집어 고정하는 금속 장치,0,1,99,60,6107,0,0,0,0,0,0,0,0,0,0,0
6108,건설 자원,섬유 원단,튼튼하게 짜여진 섬유 원단,0,1,99,65,6108,0,0,0,0,0,0,0,0,0,0,0
6109,건설 자원,합성 플라스틱,여러 용도로 사용할 수 있는 플라스틱,0,1,99,70,6109,0,0,0,0,0,0,0,0,0,0,0
6110,건설 자원,산업용 고무,충격을 흡수하는 산업용 고무,0,1,99,75,6110,0,0,0,0,0,0,0,0,0,0,0
6111,건설 자원,건축용 목재,건축에 사용되는 기본적인 나무 목재,0,1,99,80,6111,0,0,0,0,0,0,0,0,0,0,0
6112,건설 자원,보강 목판,내구성을 높이기 위해 가공된 목판,0,1,99,95,6112,0,0,0,0,0,0,0,0,0,0,0
6113,건설 자원,경량 금속판,얇지만 단단한 금속판,0,1,99,100,6113,0,0,0,0,0,0,0,0,0,0,0
6114,건설 자원,산업용 파이프,유체나 공기를 이동시키는 파이프,0,1,99,105,6114,0,0,0,0,0,0,0,0,0,0,0
6115,건설 자원,연결 조인트,파이프를 서로 연결하는 부품,0,1,99,110,6115,0,0,0,0,0,0,0,0,0,0,0
6116,건설 자원,안전 퓨즈,과부하를 방지하는 보호 장치,0,1,99,115,6116,0,0,0,0,0,0,0,0,0,0,0
6117,건설 자원,절연 케이블,외부 접촉을 막도록 절연 처리된 케이블,0,1,99,120,6117,0,0,0,0,0,0,0,0,0,0,0
6118,건설 자원,전력 케이블,전력을 전달하는 케이블,0,1,99,135,6118,0,0,0,0,0,0,0,0,0,0,0
6119,건설 자원,압력 밸브,압력을 조절하는 장치,0,1,99,145,6119,0,0,0,0,0,0,0,0,0,0,0
6120,건설 자원,보강 철재,강도를 높이기 위해 가공된 철재,0,1,99,160,6120,0,0,0,0,0,0,0,0,0,0,0
6121,건설 자원,혼합 콘크리트,굳기 전 상태의 콘크리트 혼합물,0,1,99,170,6121,0,0,0,0,0,0,0,0,0,0,0
6122,건설 자원,금속 프레임,구조를 지탱하는 금속 프레임,0,1,99,185,6122,0,0,0,0,0,0,0,0,0,0,0
6123,건설 자원,전자 모듈,기계 장치에 사용되는 전자 부품,0,1,99,210,6123,0,0,0,0,0,0,0,0,0,0,0
6124,건설 자원,전력 셀,전력을 저장하는 소형 전원 장치,0,1,99,230,6124,0,0,0,0,0,0,0,0,0,0,0
6125,건설 자원,기본 공구 키트,수리에 필요한 기본 공구들이 들어있다.,0,1,99,250,6125,0,0,0,0,0,0,0,0,0,0,0
7101,코어 조각,(보스 이름12)의 코어 조각,(보스 이름1)을 처치하고 획득한 코어 조각이다.,0,0,0,0,7101,0,0,0,0,0,0,0,0,0,0,0
7102,코어 조각,(보스 이름11)의 코어 조각,(보스 이름2)을 처치하고 획득한 코어 조각이다.,0,0,0,0,7102,0,0,0,0,0,0,0,0,0,0,0
7103,코어 조각,(보스 이름10)의 코어 조각,(보스 이름3)을 처치하고 획득한 코어 조각이다.,0,0,0,0,7103,0,0,0,0,0,0,0,0,0,0,0
7104,코어 조각,(보스 이름9)의 코어 조각,(보스 이름4)을 처치하고 획득한 코어 조각이다.,0,0,0,0,7104,0,0,0,0,0,0,0,0,0,0,0
7105,코어 조각,(보스 이름8)의 코어 조각,(보스 이름5)을 처치하고 획득한 코어 조각이다.,0,0,0,0,7105,0,0,0,0,0,0,0,0,0,0,0
7106,코어 조각,(보스 이름7)의 코어 조각,(보스 이름6)을 처치하고 획득한 코어 조각이다.,0,0,0,0,7106,0,0,0,0,0,0,0,0,0,0,0
7107,코어 조각,(보스 이름6)의 코어 조각,(보스 이름7)을 처치하고 획득한 코어 조각이다.,0,0,0,0,7107,0,0,0,0,0,0,0,0,0,0,0
7108,코어 조각,(보스 이름5)의 코어 조각,(보스 이름8)을 처치하고 획득한 코어 조각이다.,0,0,0,0,7108,0,0,0,0,0,0,0,0,0,0,0
7109,코어 조각,(보스 이름4)의 코어 조각,(보스 이름9)을 처치하고 획득한 코어 조각이다.,0,0,0,0,7109,0,0,0,0,0,0,0,0,0,0,0
7110,코어 조각,(보스 이름3)의 코어 조각,(보스 이름10)을 처치하고 획득한 코어 조각이다.,0,0,0,0,7110,0,0,0,0,0,0,0,0,0,0,0
7111,코어 조각,(보스 이름2)의 코어 조각,(보스 이름11)을 처치하고 획득한 코어 조각이다.,0,0,0,0,7111,0,0,0,0,0,0,0,0,0,0,0
7112,코어 조각,(보스 이름1)의 코어 조각,(보스 이름12)을 처치하고 획득한 코어 조각이다.,0,0,0,0,7112,0,0,0,0,0,0,0,0,0,0,0
