LootTableID,MinRoll,MaxRoll,AllowDuplicate,ItemID,Probability,MinCount,MaxCount
LT_WOOD,1,3,1,7111,0.2,1,2
LT_WOOD,1,3,1,7112,0.15,1,1
LT_WOOD,1,3,1,7101,0.12,1,3
LT_WOOD,1,3,1,7108,0.15,1,2
LT_WOOD,1,3,1,7109,0.15,1,2
LT_WOOD,1,3,1,6109,0.13,1,1
LT_WOOD,1,3,1,6118,0.1,1,1
LT_AMMO,1,2,1,5104,0.3,15,30
LT_AMMO,1,2,1,5102,0.25,20,40
LT_AMMO,1,2,1,5101,0.2,10,25
LT_AMMO,1,2,1,5103,0.2,6,12
LT_AMMO,1,2,1,6109,0.05,1,1
LT_METAL,1,3,1,7113,0.18,1,2
LT_METAL,1,3,1,7114,0.15,1,2
LT_METAL,1,3,1,7118,0.14,1,1
LT_METAL,1,3,1,7122,0.1,1,1
LT_METAL,1,3,1,7107,0.15,1,2
LT_METAL,1,3,1,7120,0.18,1,1
LT_METAL,1,3,1,6111,0.1,1,1
LT_WEAPON,1,1,0,6101,0.25,1,1
LT_WEAPON,1,1,0,6102,0.2,1,1
LT_WEAPON,1,1,0,6103,0.2,1,1
LT_WEAPON,1,1,0,6114,0.15,1,1
LT_WEAPON,1,1,0,5101,0.2,10,25
LT_DUFFEL,2,4,1,5104,0.2,10,25
LT_DUFFEL,2,4,1,7101,0.15,1,3
LT_DUFFEL,2,4,1,7102,0.15,1,2
LT_DUFFEL,2,4,1,7117,0.1,1,2
LT_DUFFEL,2,4,1,6109,0.15,1,1
LT_DUFFEL,2,4,1,6117,0.1,1,1
LT_DUFFEL,2,4,1,6118,0.15,1,1
LT_BACKPACK,1,2,1,5104,0.25,10,25
LT_BACKPACK,1,2,1,7111,0.2,1,2
LT_BACKPACK,1,2,1,7116,0.15,1,2
LT_BACKPACK,1,2,1,7109,0.15,1,2
LT_BACKPACK,1,2,1,6109,0.15,1,1
LT_BACKPACK,1,2,1,6117,0.1,1,1
LT_CAR,2,3,1,7114,0.18,1,2
LT_CAR,2,3,1,7119,0.14,1,1
LT_CAR,2,3,1,7121,0.12,1,1
LT_CAR,2,3,1,5102,0.18,15,35
LT_CAR,2,3,1,6109,0.18,1,2
LT_CAR,2,3,1,6115,0.1,1,1
LT_CAR,2,3,1,6112,0.1,1,1
LT_TOOL,1,2,0,7125,0.22,1,1
LT_TOOL,1,2,0,7123,0.18,1,1
LT_TOOL,1,2,0,7119,0.15,1,1
LT_TOOL,1,2,0,7116,0.15,1,2
LT_TOOL,1,2,0,7106,0.15,1,3
LT_TOOL,1,2,0,7105,0.15,1,3
LT_OUTDOOR,1,3,1,7122,0.14,1,1
LT_OUTDOOR,1,3,1,7118,0.16,1,1
LT_OUTDOOR,1,3,1,7120,0.16,1,1
LT_OUTDOOR,1,3,1,7121,0.12,1,1
LT_OUTDOOR,1,3,1,5101,0.18,10,25
LT_OUTDOOR,1,3,1,6109,0.14,1,2
LT_OUTDOOR,1,3,1,6110,0.1,1,1
