dropId,sourceType,sourceId,itemId,dropTier,dropWeight,minCount,maxCount,pickCount
1001,chest,LC_AMMO,3102,0,15,10,30,2
1001,chest,LC_AMMO,3103,0,30,8,20,2
1001,chest,LC_AMMO,3104,0,50,10,24,2
1002,chest,LC_LOOT,3201,0,18,1,1,3
1002,chest,LC_LOOT,4206,0,30,1,3,3
1002,chest,LC_LOOT,4207,0,28,1,3,3
1002,chest,LC_LOOT,4208,0,26,1,3,3
1002,chest,LC_LOOT,4212,0,24,1,3,3
1002,chest,LC_LOOT,4210,0,16,1,2,3
1002,chest,LC_LOOT,6109,0,10,1,2,3
1002,chest,LC_LOOT,6117,0,8,1,1,3
1003,chest,LC_TOOL,4201,0,35,1,4,3
1003,chest,LC_TOOL,4202,0,35,1,4,3
1003,chest,LC_TOOL,4203,0,24,1,3,3
1003,chest,LC_TOOL,4204,0,30,1,4,3
1003,chest,LC_TOOL,4205,0,28,1,4,3
1003,chest,LC_TOOL,4209,0,18,1,2,3
1003,chest,LC_TOOL,4210,0,14,1,2,3
1003,chest,LC_TOOL,4211,0,14,1,2,3
1004,chest,LC_WEAPON,1101,0,32,1,1,2
1004,chest,LC_WEAPON,1201,0,20,1,1,2
1004,chest,LC_WEAPON,1301,0,16,1,1,2
1004,chest,LC_WEAPON,1302,0,14,1,1,2
1004,chest,LC_WEAPON,3104,0,35,8,16,2
1004,chest,LC_WEAPON,3103,0,24,4,8,2
1004,chest,LC_WEAPON,3102,0,18,10,20,2
1005,chest,LC_BAG,3201,0,18,1,1,3
1005,chest,LC_BAG,3104,0,24,8,20,3
1005,chest,LC_BAG,4206,0,24,1,3,3
1005,chest,LC_BAG,4208,0,22,1,3,3
1005,chest,LC_BAG,4210,0,14,1,2,3
1005,chest,LC_BAG,4211,0,14,1,2,3
1005,chest,LC_BAG,6109,0,10,1,2,3
1005,chest,LC_BAG,6117,0,8,1,1,3
2001,monster,MeleeBot_Ghoul,4204,0,34,1,2,1
2001,monster,MeleeBot_Ghoul,4206,0,30,1,2,1
2001,monster,MeleeBot_Ghoul,4208,0,24,1,2,1
2001,monster,MeleeBot_Ghoul,4212,0,18,1,2,1
2002,monster,MeleeBot_EvilWatcher,4205,0,28,1,2,1
2002,monster,MeleeBot_EvilWatcher,4209,0,22,1,2,1
2002,monster,MeleeBot_EvilWatcher,4210,0,18,1,1,1
2002,monster,MeleeBot_EvilWatcher,3104,0,16,4,10,1
2002,monster,MeleeBot_EvilWatcher,3201,0,8,1,1,1
2003,monster,MeleeBot_Undead,4210,0,28,1,2,1
2003,monster,MeleeBot_Undead,4211,0,28,1,2,1
2003,monster,MeleeBot_Undead,4207,0,22,1,2,1
2003,monster,MeleeBot_Undead,4208,0,22,1,2,1
2004,monster,MeleeBot_SK,3102,0,26,4,10,2
2004,monster,MeleeBot_SK,3104,0,26,4,10,2
2004,monster,MeleeBot_SK,4203,0,20,1,2,2
2004,monster,MeleeBot_SK,4209,0,18,1,2,2
2004,monster,MeleeBot_SK,4211,0,14,1,1,2
2004,monster,MeleeBot_SK,6109,0,8,1,1,2
2005,monster,MeleeBot_Vampire,3201,0,10,1,1,2
2005,monster,MeleeBot_Vampire,3104,0,22,8,18,2
2005,monster,MeleeBot_Vampire,4210,0,18,1,2,2
2005,monster,MeleeBot_Vampire,4211,0,18,1,2,2
2005,monster,MeleeBot_Vampire,4209,0,18,1,2,2
2005,monster,MeleeBot_Vampire,6101,0,8,1,1,2
2005,monster,MeleeBot_Vampire,6102,0,6,1,1,2
2005,monster,MeleeBot_Vampire,6116,0,6,1,1,2
