facilityId,facilityName,facilityType,gridW,gridH,inputCount,outputCount,requiresPower,canRotate,installRule,maxLevel
1,정련로,autoMiner,3,3,0,1,1,1,veinOnly,3
2,성형기,inputStorage,5,5,1,1,0,1,baseOnly,1
3,발전기,sorter,3,3,1,2,1,1,baseOnly,1
4,포장기,generator,3,3,1,0,0,1,baseOnly,1
5,화학 물질 추출기,tradeBox,3,3,1,0,0,1,baseOnly,1
6,재배기,shredder,5,5,1,2,1,1,baseOnly,1
7,추출기,smelter,5,5,1,2,1,1,baseOnly,1
8,충진기,extractor,5,5,1,1,1,1,baseOnly,1
9,금속 압출기,extruder,5,5,2,1,1,1,baseOnly,1
10,군용 배합기,mixer,5,5,2,1,1,1,baseOnly,1
11,전술 조립대,armorWorkbench,5,5,4,1,1,1,baseOnly,1
12,총기 작업대,weaponWorkbench,3,2,5,1,1,1,baseOnly,1
13,탄약 자동 프레스기,ammoPress,2,2,4,1,1,1,baseOnly,1
14,컨베이어,conveyor,1,1,1,1,0,1,gridOnly,1
