itemId,factoryUsage,powerMinutes,tradeValue,isProcessed,isFinalProduct
1101,none,0,0,0,1
1201,none,0,0,0,1
1301,none,0,0,0,1
1302,none,0,0,0,1
1401,none,0,0,0,1
2101,none,0,0,0,1
2102,none,0,0,0,1
2103,none,0,0,0,1
2201,none,0,0,0,1
2202,none,0,0,0,1
2203,none,0,0,0,1
2301,none,0,0,0,1
2302,none,0,0,0,1
2303,none,0,0,0,1
3101,none,0,0,0,1
3102,none,0,0,0,1
3103,none,0,0,0,1
3104,none,0,0,0,1
3201,none,0,0,0,1
4101,smeltable,0,0,0,0
4102,smeltable,0,0,0,0
4103,smeltable,0,0,0,0
4201,directInput,0,0,0,0
4202,directInput,0,0,0,0
4203,directInput,0,0,0,0
4204,directInput,0,0,0,0
4205,directInput,0,0,0,0
4206,directInput,0,0,0,0
4207,directInput,0,0,0,0
4208,directInput,0,0,0,0
4209,directInput,0,0,0,0
4210,extractable,0,0,0,0
4211,extractable,0,0,0,0
4212,directInput,0,0,0,0
4213,directInput,0,0,0,0
5101,directInput,0,0,1,0
5102,directInput,0,0,1,0
5103,directInput,0,0,1,0
5104,directInput,0,0,1,0
5105,directInput,0,0,1,0
5106,directInput,0,0,1,0
5107,directInput,0,0,1,0
5108,directInput,0,0,1,0
5109,directInput,0,0,1,0
5110,directInput,0,0,1,0
5111,directInput,0,0,1,0
5112,directInput,0,0,1,0
5113,directInput,0,0,1,0
5114,directInput,0,0,1,0
5115,directInput,0,0,1,0
5116,directInput,0,0,1,0
5117,directInput,0,0,1,0
5118,directInput,0,0,1,0
5119,directInput,0,0,1,0
5120,directInput,0,0,1,0
5121,directInput,0,0,1,0
5122,directInput,0,0,1,0
5123,directInput,0,0,1,0
5124,directInput,0,0,1,0
5125,directInput,0,0,1,0
5126,directInput,0,0,1,0
5127,directInput,0,0,1,0
5128,directInput,0,0,1,0
5129,directInput,0,0,1,0
5130,directInput,0,0,1,0
5201,directInput,0,0,1,0
5202,directInput,0,0,1,0
5203,powerSource,60,0,0,0
5204,powerSource,10,0,0,0
5205,extractable,0,0,0,0
6101,sellOnly,0,100,0,0
6102,sellOnly,0,80,0,0
6103,shreddable,0,0,0,0
6104,sellOnly,0,120,0,0
6105,sellOnly,0,115,0,0
6106,sellOnly,0,110,0,0
6107,sellOnly,0,105,0,0
6108,sellOnly,0,100,0,0
6109,smeltable,0,0,0,0
6110,smeltable,0,0,0,0
6111,smeltable,0,0,0,0
6112,sellOnly,0,60,0,0
6113,sellOnly,0,55,0,0
6114,sellOnly,0,45,0,0
6115,sellOnly,0,40,0,0
6116,smeltable,0,0,0,0
6117,shreddable,0,0,0,0
8101,shreddable,0,0,0,0
8102,shreddable,0,0,0,0
8103,shreddable,0,0,0,0
8104,shreddable,0,0,0,0
