itemId,itemName,itemType,subType,description,iconKey,stackable,maxStack,weight,sellValue,rarityTier,isDroppable,isCraftable,factoryUsage,isProcessed,isFinalProduct
1101,PM,weapon,pistol,엄청 오래된 권총같다.,1101,0,1,4.4,0,1,0,1,none,0,1
1201,TOZ-66,weapon,shotgun,곰도 한방에 보낼 것 같은 샷건이다.,1201,0,1,2.7,0,2,0,1,none,0,1
1301,MP7,weapon,smg,굉장히 가볍다.,1301,0,1,1.8,0,3,0,1,none,0,1
1302,AK-47,weapon,ar,총소리만 들어도 적이 두려움을 느낀다는 총이다.,1302,0,1,4.3,0,3,0,1,none,0,1
1401,kar98k,weapon,sr,누구라도 맞으면 사망할 것 같다.,1401,0,1,4.4,0,3,0,1,none,0,1
2101,Lv.1 방탄모,armor,helmet,기본적인 충격을 방어하는 헬멧,2101,0,1,2,0,1,0,1,none,0,1
2102,Lv.2 방탄모,armor,helmet,향상된 방어력을 가진 헬멧,2102,0,1,3,0,2,0,1,none,0,1
2103,Lv.3 방탄모,armor,helmet,고급 방어 성능을 가진 헬멧,2103,0,1,4,0,3,0,1,none,0,1
2201,Lv.1 방탄복,armor,vest,기본적인 방어력을 제공하는 방탄복,2201,0,1,2,0,1,0,1,none,0,1
2202,Lv.2 방탄복,armor,vest,중급 방어력을 제공하는 방탄복,2202,0,1,3,0,2,0,1,none,0,1
2203,Lv.3 방탄복,armor,vest,고급 방어 성능을 가진 방탄복,2203,0,1,4,0,3,0,1,none,0,1
2301,대형 가방,backpack,bag,대량의 아이템을 보관할 수 있는 가방,2301,0,1,7,0,1,0,1,none,0,1
2302,중형 가방,backpack,bag,중간 용량의 아이템을 보관할 수 있는 가방,2302,0,1,5,0,2,0,1,none,0,1
2303,소형 가방,backpack,bag,소량의 아이템을 보관할 수 있는 가방,2303,0,1,3,0,3,0,1,none,0,1
3101,7.62mm,ammo,ammo762,0,3101,1,4,0.4,0,3,0,1,none,0,1
3102,5.45mm,ammo,ammo545,0,3102,1,30,0.25,0,3,0,1,none,0,1
3103,12 Gauge,ammo,ammo12gauge,0,3103,1,2,0.2,0,2,0,1,none,0,1
3104,9mm,ammo,ammo9mm,0,3104,1,8,0.1,0,1,0,1,none,0,1
3201,구급상자,consumable,heal,0,3201,1,3,1.2,100,3,0,1,none,0,1
4101,철 광석,material,ore,철을 얻기 위한 기본 광석,4101,1,50,1.4,0,1,0,0,smeltable,0,0
4102,구리 광석,material,ore,"구리 광석,전기 자재 생산에 사용되는 광석",4102,1,50,1.6,0,1,0,0,smeltable,0,0
4103,납 광석,material,ore,"납 광석,탄약 제작에 사용되는 광석",4103,1,50,1.5,0,1,0,0,smeltable,0,0
4201,나무,material,part,기본적인 건설 재료로 사용되는 목재,4201,1,50,0.6,0,1,1,0,directInput,0,0
4202,돌,material,part,건설 및 가공에 사용되는 기본 자원,4202,1,50,1,0,1,1,0,directInput,0,0
4203,절연 케이블,material,part,전기 설비에서 회수된 절연 자재,4203,1,50,1.1,0,1,1,0,directInput,0,0
4204,고철,material,part,버려진 금속 자재,4204,1,50,1.9,0,1,1,0,directInput,0,0
4205,금속 파편,material,part,파손된 금속 조각,4205,1,50,1.2,0,1,1,0,directInput,0,0
4206,천 조각,material,part,낡은 직물 조각,4206,1,50,0.6,0,1,1,0,directInput,0,0
4207,유리 파편,material,part,깨진 유리 조각,4207,1,50,0.4,0,1,1,0,directInput,0,0
4208,고무 조각,material,part,산업용 고무의 잔해,4208,1,50,0.3,0,1,1,0,directInput,0,0
4209,부서진 전자부품,material,part,고장난 전자 장비에서 나온 부품,4209,1,50,1,0,1,1,0,directInput,0,0
4210,의료용 알코올,material,chemical,치료 및 화학 재료로 사용되는 액체,4210,1,50,1.9,0,1,1,0,extractable,0,0
4211,화학 용액,material,chemical,각종 화학 반응에 사용되는 기본 용액,4211,1,50,1.9,0,1,1,0,extractable,0,0
4212,섬유 원단,material,part,괜찮은 재질의 섬유 원단,4212,1,50,0.5,0,1,1,0,directInput,0,0
4213,텅스텐 광석,material,ore,합금 제작에 필요해보이는 광석,4213,1,50,2.2,0,1,0,0,directInput,0,0
5101,철,material,processedPart,철광석을 정제하여 얻은 금속,5101,1,50,1,0,2,0,1,directInput,1,0
5102,구리 뭉치,material,processedPart,전기 전도성이 높은 금속 자원,5102,1,50,1,0,2,0,1,directInput,1,0
5103,납 덩어리,material,processedPart,탄약 및 특수 제작에 사용되는 금속,5103,1,50,1,0,2,0,1,directInput,1,0
5104,건축용 목재,material,processedPart,나무를 가공하여 만든 건설 자재,5104,1,50,2,0,2,0,1,directInput,1,0
5105,보강 목판,material,processedPart,강화된 목재 판자,5105,1,50,1.5,0,2,0,1,directInput,1,0
5106,경량 금속판,material,processedPart,가벼운 금속 자재,5106,1,50,1.9,0,2,0,1,directInput,1,0
5107,보강 철재,material,processedPart,화된 철 구조물 자재,5107,1,50,2.1,0,2,0,1,directInput,1,0
5108,합성 플라스틱,material,processedPart,가공된 플라스틱 자재,5108,1,50,1.4,0,2,0,1,directInput,1,0
5109,산업용 고무,material,processedPart,기계 제작에 사용되는 고무 자재,5109,1,50,1.1,0,2,0,1,directInput,1,0
5110,구리 선,material,processedPart,전기 전도용 자재,5110,1,50,1.9,0,2,0,1,directInput,1,0
5111,납 구슬,material,processedPart,탄약 제작용 재료,5111,1,50,1.9,0,2,0,1,directInput,1,0
5112,고농축 알코올,material,processedPart,고순도 화학 자원,5112,1,50,1.9,0,2,0,1,directInput,1,0
5113,윤활 오일,material,processedPart,기계 작동용 자재,5113,1,50,1.9,0,2,0,1,directInput,1,0
5114,고정 핀,material,processedPart,부품 고정에 사용되는 자재,5114,1,50,1.9,0,2,0,1,directInput,1,0
5115,체결 너트,material,processedPart,부품 결합용 자재,5115,1,50,1.9,0,2,0,1,directInput,1,0
5116,체결 볼트,material,processedPart,부품 결합용 금속 자재,5116,1,50,1.9,0,2,0,1,directInput,1,0
5117,금속 클램프,material,processedPart,고정용 금속 부품,5117,1,50,1.9,0,2,0,1,directInput,1,0
5118,산업용 파이프,material,processedPart,유체 전달용 자재,5118,1,50,1.9,0,2,0,1,directInput,1,0
5119,연결 조인트,material,processedPart,구조 연결 부품,5119,1,50,1.9,0,2,0,1,directInput,1,0
5120,안전 퓨즈,material,processedPart,전기 보호 장치,5120,1,50,1.9,0,2,0,1,directInput,1,0
5121,압력 밸브,material,processedPart,압력 조절 장치,5121,1,50,1.9,0,2,0,1,directInput,1,0
5122,금속 프레임,material,processedPart,구조 제작용 기본 틀,5122,1,50,1.9,0,2,0,1,directInput,1,0
5123,전자 모듈,material,processedPart,전자 장치 핵심 부품,5123,1,50,1.9,0,2,0,1,directInput,1,0
5124,접합 접착제,material,processedPart,재료 결합용 화학 물질,5124,1,50,1.9,0,2,0,1,directInput,1,0
5125,보강 테이프,material,processedPart,수리 및 보강용 자재,5125,1,50,1.9,0,2,0,1,directInput,1,0
5126,기본 공구 키트,material,processedPart,작업에 필요한 도구 세트,5126,1,50,1.9,0,2,0,1,directInput,1,0
5127,혼합 콘크리트,material,processedPart,건설용 기본 자재,5127,1,50,1.9,0,2,0,1,directInput,1,0
5128,기계 부품,material,processedPart,각종 장비 제작에 사용되는 부품,5128,1,50,1.9,0,2,0,1,directInput,1,0
5129,미세 톱니바퀴,material,processedPart,장비를 완성시키기 위한 부품,5129,1,50,1.9,0,2,0,1,directInput,1,0
5130,특수 합금 프레임,material,processedPart,텅스텐으로 제작한 프레임 부품,5130,1,50,1.9,0,2,0,1,directInput,1,0
5201,화약,material,processedPart,탄약 제작에 사용되는 재료,5201,1,50,1.9,0,2,0,1,directInput,1,0
5202,화학 연료,material,processedPart,기계 및 설비 작동에 사용되는 연료,5202,1,50,1.9,0,2,0,1,directInput,1,0
