recipeId,facilityId,craftTechTier,craftTime,powerCost,recipeGroup
1001,6,1,3,1,shred
1003,6,1,3,1,shred
1004,6,1,3,1,shred
1101,7,1,5,2,smelt
1103,7,1,5,2,smelt
1104,7,1,5,2,smelt
1105,7,1,5,2,smelt
1106,7,1,5,2,smelt
1107,7,1,5,2,smelt
1108,7,1,5,2,smelt
1109,7,1,5,2,smelt
1110,7,1,5,2,smelt
1201,8,1,4,2,extract
1202,8,1,4,2,extract
1301,9,2,6,2,process
1302,9,2,6,2,process
1303,9,2,6,2,process
1304,9,2,6,2,process
1305,9,2,6,2,process
1306,9,2,6,2,process
1401,10,2,6,2,mix
1402,10,2,6,2,mix
1501,11,3,10,3,assemble
1502,11,3,10,3,assemble
1503,11,3,12,4,assemble
1504,11,3,8,3,assemble
1505,11,3,10,3,assemble
1506,11,3,12,4,assemble
1507,11,3,10,3,assemble
1601,12,3,12,4,weapon
1602,12,2,12,4,weapon
1603,12,1,10,3,weapon
1604,12,4,10,3,weapon
1605,12,5,14,5,weapon
1701,13,2,4,2,ammo
1702,13,3,5,2,ammo
1703,13,1,4,2,ammo
1704,13,2,5,2,ammo
