recipeId,inputItemId,inputCount
1001,6103,1
1003,6117,1
1004,8101,1
1004,8102,1
1004,8103,1
1004,8104,1
1101,4101,1
1103,4102,1
1104,4103,1
1105,6116,1
1106,6109,1
1107,6111,1
1108,6110,1
1109,5102,1
1110,5103,1
1201,5205,1
1202,4210,1
1301,5106,2
1302,5106,1
1302,5110,1
1303,5107,2
1304,5107,1
1304,5108,1
1305,5107,1
1305,5114,1
1306,5127,1
1306,4213,1
1401,5109,1
1401,5113,1
1402,5120,1
1402,5112,1
1501,4212,2
1501,5108,2
1502,4212,3
1502,5108,2
1502,5107,1
1503,4212,4
1503,5107,2
1503,5130,1
1503,5125,1
1504,5108,3
1504,5119,1
1505,5108,2
1505,5107,2
1505,5117,1
1506,5130,2
1506,5107,1
1506,5125,1
1507,4212,4
1507,5125,2
1507,5114,2
1601,5122,1
1601,5118,1
1601,5104,2
1601,5116,4
1601,5123,1
1602,5108,3
1602,5130,1
1602,5129,2
1602,4203,1
1603,5122,1
1603,5118,1
1603,5114,2
1604,5104,2
1604,5118,2
1604,5117,2
1605,5104,3
1605,5130,1
1605,5124,1
1605,5126,1
1701,5106,1
1701,5201,1
1701,5111,1
1701,5110,1
1702,5106,2
1702,5201,2
1702,5111,2
1702,5110,1
1703,5106,1
1703,5201,1
1703,5111,1
1704,5108,1
1704,5201,2
1704,5111,3
