recipeId,outputItemId,outputCount
1001,5129,2
1001,5114,1
1003,5108,2
1004,5108,1
1004,5123,1
1101,5107,1
1101,5106,1
1103,5110,3
1104,5111,5
1105,5106,1
1106,5106,1
1107,5106,2
1108,5107,1
1108,5106,1
1109,5110,3
1110,5111,5
1201,5113,1
1202,5112,2
1301,5122,1
1302,5118,1
1303,5119,2
1304,5117,2
1305,5116,2
1306,5130,1
1401,5124,2
1402,5201,3
1501,2201,1
1502,2202,1
1503,2203,1
1504,2101,1
1505,2102,1
1506,2103,1
1507,2301,1
1601,1302,1
1602,1301,1
1603,1101,1
1604,1201,1
1605,1401,1
1701,3102,30
1702,3101,30
1703,3104,30
1704,3103,10
